model,category,gt_count,pred,abs_err
Attend Excite,cars,13,0,13
Attend Excite,cars,15,0,15
Attend Excite,cars,17,0,17
Attend Excite,cats,3,3,0
Attend Excite,cats,5,4,1
Attend Excite,cats,7,2,5
Attend Excite,cats,9,6,3
Attend Excite,cats,11,8,3
Attend Excite,cats,13,3,10
Attend Excite,cats,15,0,15
Attend Excite,cats,17,0,17
Attend Excite,chicks,3,0,3
Attend Excite,chicks,5,0,5
Attend Excite,chicks,7,0,7
Attend Excite,chicks,9,0,9
Attend Excite,chicks,11,0,11
Attend Excite,chicks,13,0,13
Attend Excite,chicks,15,0,15
Attend Excite,chicks,17,0,17
Attend Excite,clocks,3,2,1
Attend Excite,clocks,5,2,3
Attend Excite,clocks,7,6,1
Attend Excite,clocks,9,1,8
Attend Excite,clocks,11,6,5
Attend Excite,clocks,13,32,19
Attend Excite,clocks,15,17,2
Attend Excite,clocks,17,12,5
Attend Excite,donuts,3,5,2
Attend Excite,donuts,5,8,3
Attend Excite,donuts,7,6,1
Attend Excite,donuts,9,12,3
Attend Excite,donuts,11,0,11
Attend Excite,donuts,13,10,3
Attend Excite,donuts,15,10,5
Attend Excite,donuts,17,0,17
Attend Excite,eggs,3,0,3
Attend Excite,eggs,5,0,5
Attend Excite,eggs,7,0,7
Attend Excite,eggs,9,0,9
Attend Excite,eggs,11,0,11
Attend Excite,eggs,13,0,13
Attend Excite,eggs,15,0,15
Attend Excite,eggs,17,0,17
Attend Excite,horses,3,1,2
Attend Excite,horses,5,3,2
Attend Excite,horses,7,4,3
Attend Excite,horses,9,2,7
Attend Excite,horses,11,3,8
Attend Excite,horses,13,2,11
Attend Excite,horses,15,5,10
Attend Excite,horses,17,5,12
Attend Excite,onions,3,0,3
Attend Excite,onions,5,2,3
Attend Excite,onions,7,3,4
Attend Excite,onions,9,0,9
Attend Excite,onions,11,0,11
Attend Excite,onions,13,0,13
Attend Excite,onions,15,1,14
Attend Excite,onions,17,0,17
Attend Excite,chairs,3,2,1
Attend Excite,chairs,5,0,5
Attend Excite,chairs,7,4,3
Attend Excite,chairs,9,2,7
Attend Excite,chairs,11,0,11
Attend Excite,chairs,13,0,13
Attend Excite,chairs,15,4,11
Attend Excite,chairs,17,2,15
Attend Excite,apples,3,2,1
Attend Excite,apples,5,6,1
Attend Excite,apples,7,7,0
Attend Excite,apples,9,0,9
Attend Excite,apples,11,6,5
Attend Excite,apples,13,5,8
Attend Excite,apples,15,6,9
Attend Excite,apples,17,5,12
SD‑v1.5,balloons,3,5,2
SD‑v1.5,balloons,5,2,3
SD‑v1.5,balloons,7,7,0
SD‑v1.5,balloons,9,10,1
SD‑v1.5,balloons,11,1,10
SD‑v1.5,balloons,13,3,10
SD‑v1.5,balloons,15,11,4
SD‑v1.5,balloons,17,0,17
SD‑v1.5,cars,3,0,3
SD‑v1.5,cars,5,0,5
SD‑v1.5,cars,7,0,7
SD‑v1.5,cars,9,0,9
SD‑v1.5,cars,11,0,11
SD‑v1.5,cars,13,0,13
SD‑v1.5,cars,15,0,15
SD‑v1.5,cars,17,1,16
SD‑v1.5,cats,3,1,2
SD‑v1.5,cats,5,5,0
SD‑v1.5,cats,7,2,5
SD‑v1.5,cats,9,0,9
SD‑v1.5,cats,11,0,11
SD‑v1.5,cats,13,0,13
SD‑v1.5,cats,15,1,14
SD‑v1.5,cats,17,0,17
SD‑v1.5,chicks,3,0,3
SD‑v1.5,chicks,5,0,5
SD‑v1.5,chicks,7,0,7
SD‑v1.5,chicks,9,1,8
SD‑v1.5,chicks,11,0,11
SD‑v1.5,chicks,13,0,13
SD‑v1.5,chicks,15,0,15
SD‑v1.5,chicks,17,0,17
SD‑v1.5,clocks,3,3,0
SD‑v1.5,clocks,5,3,2
SD‑v1.5,clocks,7,4,3
SD‑v1.5,clocks,9,11,2
SD‑v1.5,clocks,11,19,8
SD‑v1.5,clocks,13,2,11
SD‑v1.5,clocks,15,5,10
SD‑v1.5,clocks,17,24,7
SD‑v1.5,donuts,3,0,3
SD‑v1.5,donuts,5,6,1
SD‑v1.5,donuts,7,7,0
SD‑v1.5,donuts,9,4,5
SD‑v1.5,donuts,11,4,7
SD‑v1.5,donuts,13,0,13
SD‑v1.5,donuts,15,6,9
SD‑v1.5,donuts,17,4,13
SD‑v1.5,eggs,3,0,3
SD‑v1.5,eggs,5,0,5
SD‑v1.5,eggs,7,0,7
SD‑v1.5,eggs,9,0,9
SD‑v1.5,eggs,11,0,11
SD‑v1.5,eggs,13,0,13
SD‑v1.5,eggs,15,0,15
SD‑v1.5,eggs,17,0,17
SD‑v1.5,horses,3,3,0
SD‑v1.5,horses,5,3,2
SD‑v1.5,horses,7,4,3
SD‑v1.5,horses,9,6,3
SD‑v1.5,horses,11,4,7
SD‑v1.5,horses,13,3,10
SD‑v1.5,horses,15,1,14
SD‑v1.5,horses,17,1,16
SD‑v1.5,onions,3,0,3
SD‑v1.5,onions,5,4,1
SD‑v1.5,onions,7,4,3
SD‑v1.5,onions,9,1,8
SD‑v1.5,onions,11,0,11
SD‑v1.5,onions,13,1,12
SD‑v1.5,onions,15,1,14
SD‑v1.5,onions,17,4,13
SD‑v1.5,chairs,3,3,0
SD‑v1.5,chairs,5,2,3
SD‑v1.5,chairs,7,0,7
SD‑v1.5,chairs,9,0,9
SD‑v1.5,chairs,11,1,10
SD‑v1.5,chairs,13,3,10
SD‑v1.5,chairs,15,0,15
SD‑v1.5,chairs,17,0,17
SD‑v1.5,apples,3,2,1
SD‑v1.5,apples,5,2,3
SD‑v1.5,apples,7,14,7
SD‑v1.5,apples,9,3,6
SD‑v1.5,apples,11,9,2
SD‑v1.5,apples,13,5,8
SD‑v1.5,apples,15,0,15
SD‑v1.5,apples,17,6,11
